district_code,detail_category_name,detail_category_code,store_count,quarter
11740700,전자상거래업,CS300043,35,20254
11740700,주유소,CS300042,7,20254
11740700,예술품,CS300041,3,20254
11740700,재생용품 판매점,CS300040,3,20254
11740700,모터사이클및부품,CS300039,2,20254
11740700,자동차부품,CS300038,4,20254
11740700,중고차판매,CS300037,1,20254
11740700,조명용품,CS300036,10,20254
11740700,인테리어,CS300035,13,20254
11740700,악기,CS300034,1,20254
11740700,철물점,CS300033,9,20254
11740700,가전제품,CS300032,4,20254
11740700,가구,CS300031,9,20254
11740700,애완동물,CS300029,10,20254
11740700,화초,CS300028,19,20254
11740700,섬유제품,CS300027,6,20254
11740700,완구,CS300026,3,20254
11740700,자전거 및 기타운송장비,CS300025,3,20254
11740700,운동/경기용품,CS300024,11,20254
11740700,미용재료,CS300023,1,20254
11740700,화장품,CS300022,12,20254
11740700,문구,CS300021,3,20254
11740700,서적,CS300020,6,20254
11740700,의료기기,CS300019,16,20254
11740700,의약품,CS300018,20,20254
11740700,시계및귀금속,CS300017,4,20254
11740700,안경,CS300016,2,20254
11740700,가방,CS300015,3,20254
11740700,신발,CS300014,2,20254
11740700,유아의류,CS300013,1,20254
11740700,한복점,CS300012,1,20254
11740700,일반의류,CS300011,42,20254
11740700,반찬가게,CS300010,12,20254
11740700,청과상,CS300009,20,20254
11740700,수산물판매,CS300008,7,20254
11740700,육류판매,CS300007,17,20254
11740700,미곡판매,CS300006,15,20254
11740700,주류도매,CS300005,8,20254
11740700,핸드폰,CS300004,9,20254
11740700,컴퓨터및주변장치판매,CS300003,9,20254
11740700,편의점,CS300002,5,20254
11740700,슈퍼마켓,CS300001,18,20254
11740700,가정용품임대,CS200047,2,20254
11740700,의류임대,CS200046,3,20254
11740700,여행사,CS200044,2,20254
11740700,건축물청소,CS200043,9,20254
11740700,통번역서비스,CS200042,4,20254
11740700,사진관,CS200041,7,20254
11740700,독서실,CS200038,8,20254
11740700,노래방,CS200037,7,20254
11740700,여관,CS200034,7,20254
11740700,부동산중개업,CS200033,91,20254
11740700,가전제품수리,CS200032,11,20254
